NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
219902200953;2023-02-17;Telefone Móvel Celular;SM-A346M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
219892200953;2023-02-27;Telefone Móvel Celular;SM-A546E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
217652209185;2023-02-02;Telefone Móvel Celular;22111317G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217652209185;2023-02-02;Telefone Móvel Celular;22111317PG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217592209185;2023-03-03;Telefone Móvel Celular;22101316G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
217582209185;2023-01-25;Telefone Móvel Celular;2210129SG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
204632200953;2023-03-01;Telefone Móvel Celular;SM-M546B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
203612200953;2023-01-25;Telefone Móvel Celular;SM-M146B/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
193752113366;2022-03-07;Telefone Móvel Celular;RMX3393;(realme 9 Pro+);Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
192302109185;2022-11-28;Telefone Móvel Celular;21091116AG;Poco M4 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
190432100953;2022-03-07;Telefone Móvel Celular;SM-A536E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
184032100953;2022-08-12;Telefone Móvel Celular;SM-A336M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
180192200330;2023-01-27;Telefone Móvel Celular;XT2309-2;;Ambos (SA / NSA);Motorola Mobility LLC
178742000330;2022-05-20;Telefone Móvel Celular;XT2125-4;Moto G G100;Non-standalone (NSA);Motorola Mobility LLC
176692100330;2022-04-01;Telefone Móvel Celular;XT2201-1;;Ambos (SA / NSA);Motorola Mobility LLC
174942000953;2022-04-14;Telefone Móvel Celular;SM-A526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174352000953;2022-03-30;Telefone Móvel Celular;SM-A326B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174092200330;2023-02-09;Telefone Móvel Celular;XT2335-1;;Ambos (SA / NSA);Motorola Mobility LLC
171892200953;2022-12-14;Telefone Móvel Celular;SM-A146M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171532200953;2022-12-06;Telefone Móvel Celular;SM-S918B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171522200953;2022-12-08;Telefone Móvel Celular;SM-S911B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171512200953;2022-12-05;Telefone Móvel Celular;SM-S916B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
168722000953;2022-05-12;Telefone Móvel Celular;SM-G998B/DS;Galaxy S21 Ultra 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167672013366;2021-11-24;Telefone Móvel Celular;RMX2111;realme 7 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
167602000953;2022-04-05;Telefone Móvel Celular;SM-G991B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167592000953;2022-04-05;Telefone Móvel Celular;SM-G996B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167352203109;2022-12-06;Telefone Móvel Celular;ASUS_AI2203_D;ROG Phone 6D;Ambos (SA / NSA);Asustek Computer Inc.
162192100953;2023-02-15;Telefone Móvel Celular;SM-S908E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
